,AudioFile,Mean_Pause_Length_VADInt_1,Mean_Pause_Length_VADInt_2,Mean_Pause_Length_VADInt_3,Pause_Percentage_VADInt_1,Pause_Percentage_VADInt_2,Pause_Percentage_VADInt_3,Pause_Speech_Ratio_VADInt_1,Pause_Speech_Ratio_VADInt_2,Pause_Speech_Ratio_VADInt_3,Pause_Time_VADInt_1,Pause_Time_VADInt_2,Pause_Time_VADInt_3,Pause_Variability_VADInt_1,Pause_Variability_VADInt_2,Pause_Variability_VADInt_3,Speech_Time_VADInt_1,Speech_Time_VADInt_2,Speech_Time_VADInt_3,Total_Time_VADInt_1,Total_Time_VADInt_2,Total_Time_VADInt_3
0,7_sentence_off.wav,0.068,0.0775,0.154,0.044619423,0.081364829,0.202099738,0.046703297,0.088571429,0.253289474,0.34,0.62,1.54,0.001056,0.00114375,0.012964,7.28,7,6.08,7.62,7.62,7.62
1,7_sentence_on.wav,0.044,0.055555556,0.175714286,0.019197208,0.043630017,0.211908932,0.019572954,0.045620438,0.268888889,0.22,0.5,2.42,0.000544,0.00051358,0.018867347,11.24,10.96,9,11.46,11.46,11.42
2,7_freespeech_off.wav,0.210434783,0.248333333,0.315333333,0.155727156,0.191763192,0.304375804,0.18445122,0.237261146,0.437557817,4.84,5.96,9.46,0.031960681,0.038463889,0.090311556,26.24,25.12,21.62,31.08,31.08,31.08
3,7_ahh_off.wav,0.168,0.175,0.5075,0.191780822,0.239726027,0.378306878,0.237288136,0.315315315,0.608510638,1.68,2.1,2.86,0.010736,0.014875,0.16709375,7.08,6.66,4.7,8.76,8.76,7.56
4,7_freespeech_on.wav,0.2375,0.24,0.379333333,0.17709637,0.209011264,0.354818523,0.215209125,0.264240506,0.549951503,5.66,6.68,11.34,0.068377083,0.066028571,0.182839556,26.3,25.28,20.62,31.96,31.96,31.96
5,7_counting_on.wav,0.2325,0.188333333,0.315384615,0.155258765,0.188647746,0.342237062,0.183794466,0.232510288,0.520304569,1.86,2.26,4.1,0.02749375,0.030697222,0.094901775,10.12,9.72,7.88,11.98,11.98,11.98
6,7_ahh_on.wav,0.306666667,0.325714286,0.328571429,0.159919028,0.122767857,0.125,0.190361446,0.139949109,0.142857143,1.58,1.1,1.12,0.054222222,0.134710204,0.135183673,8.3,7.86,7.84,9.88,8.96,8.96
7,7_animal_off.wav,0.394074074,0.398,0.732173913,0.346805737,0.389178618,0.548891786,0.530938124,0.637139808,1.216763006,10.64,11.94,16.84,0.145090809,0.155742667,0.438530057,20.04,18.74,13.84,30.68,30.68,30.68
8,7_animal_on.wav,0.477391304,0.546086957,0.761904762,0.359293194,0.410994764,0.523560209,0.560776302,0.697777778,1.098901099,10.98,12.56,16,0.380706238,0.419249905,0.698929705,19.58,18,14.56,30.56,30.56,30.56
9,7_counting_off.wav,0.108,0.144,0.162857143,0.060674157,0.080898876,0.124153499,0.064593301,0.08801956,0.141752577,0.54,0.72,1.1,0.003776,0.003104,0.015706122,8.36,8.18,7.76,8.9,8.9,8.86
