7_ahh_on.wav,7_animal_on.wav,7_counting_on.wav,7_freespeech_on.wav,7_sentencereading_on.wav
32.2,30.5,26.5,28.9,29.6
123.0,355.0,34.7,181.0,236.0
95.7,212.0,90.2,152.0,617.0
2.32,5.16,2.61,3.47,4.47
29.6,25.7,25.7,25.8,25.7
31.0,27.6,26.7,27.5,27.9
31.9,30.9,28.3,29.3,30.2
269.0,851.0,58.0,348.0,351.0
0.185,0.315,0.0992,0.264,0.261
166.0,151.0,88.6,167.0,1030.0
-3.94,-129.0,-71.1,-100.0,-81.6
-11.4,-0.713,-1.18,-0.946,-1.11
1190.0,1090.0,1290.0,1110.0,1140.0
0.20199999999999999,0.28800000000000003,0.175,0.29100000000000004,0.261
588.0,632.0,677.0,575.0,525.0
0.531,0.515,0.261,0.518,0.478
1.08,-124.0,-79.0,-99.4,-76.9
39.4,-0.742,-0.987,-0.917,-1.14
1020.0,866.0,885.0,812.0,870.0
0.331,0.375,0.451,0.478,0.382
1560.0,1650.0,1800.0,1620.0,1530.0
0.23800000000000002,0.21600000000000003,0.159,0.20199999999999999,0.20199999999999999
-10.9,-124.0,-84.2,-98.9,-78.1
-3.64,-0.737,-0.884,-0.92,-1.09
864.0,900.0,901.0,829.0,850.0
0.5670000000000001,0.534,0.364,0.429,0.375
2650.0,2600.0,2850.0,2600.0,2500.0
0.076,0.14,0.109,0.125,0.124
9.12,3.21,7.09,4.17,2.3
0.239,1.63,0.47100000000000003,1.03,2.15
0.37,0.466,0.263,0.34,0.11800000000000001
3.21,0.284,0.546,0.40700000000000003,0.214
0.0,0.727,0.204,0.43700000000000006,0.10099999999999999
4.35,0.282,0.522,0.371,0.175
0.298,1.38,1.26,1.31,2.9
-6.63,-4.57,-12.6,-1.15,2.88
-6.12,-4.7,-24.8,-7.82,-6.15
-0.813,-2.6,-0.387,-1.39,-1.56
-23.0,-31.9,-35.4,-32.5,-30.3
14.1,12.7,19.9,9.07,4.87
22.9,13.6,32.5,16.1,14.6
0.222,0.973,0.35600000000000004,0.659,0.7070000000000001
0.0148,0.0386,0.024,0.0319,0.0364
2.02,1.7,2.64,1.81,1.21
3.6,12.3,39.0,17.6,13.9
2.55,1.45,0.38299999999999995,0.7909999999999999,1.01
3.87,9.68,14.1,12.1,8.56
2.65,1.3,0.784,0.904,1.19
0.987,1.28,1.92,2.19,3.23
1.43,0.514,0.258,0.586,0.795
1.85,5.36,2.51,5.16,6.49
6.78,9.96,3.03,8.07,10.7
1.4,0.919,0.32,0.8740000000000001,0.992
0.757,0.0617,0.0651,0.129,0.262
1.33,0.15,0.203,0.414,0.626
2.16,0.981,0.386,1.0,1.25
1.8,4.82,2.3,3.65,4.01
0.505,1.24,0.884,0.879,0.7659999999999999
7.28,8.57,2.06,6.06,6.35
23.4,23.8,43.0,19.2,19.1
0.209,0.883,0.163,0.853,0.8170000000000001
22.8,14.6,35.5,10.6,11.5
0.261,1.22,0.38,1.63,1.66
-22.4,-9.82,12.7,4.65,-0.23399999999999999
-0.40399999999999997,-1.78,1.4,3.47,-88.6
-21.1,-2.1,11.5,6.05,1.57
-0.529,-7.1,1.36,2.27,12.5
-25.4,18.9,25.4,15.0,5.72
-0.361,0.917,0.535,1.17,3.56
-24.2,17.1,25.5,12.5,7.02
-0.456,0.768,0.47700000000000004,1.16,2.62
-20.1,-0.44299999999999995,2.4,8.01,6.84
-0.445,-38.2,5.3,1.72,1.73
-19.4,2.2,2.39,8.55,6.93
-0.519,6.26,4.98,1.38,1.74
0.626,1.4,0.997,1.24,1.69
0.799,0.828,0.9329999999999999,0.884,0.8
0.0695,0.0552,0.0213,0.0546,0.0553
-0.000167,0.00689,0.000676,0.0101,0.0051600000000000005
0.078,0.0436,0.0342,0.05,0.0523
0.22,0.606,0.753,0.513,0.434
0.00016999999999999999,-0.0105,-0.0334,-0.0141,-0.0143
52.7,-1.69,-0.414,-1.28,-1.16
0.0559,0.0617,0.0222,0.0569,0.122
0.457,0.382,0.125,0.32799999999999996,0.41100000000000003
0.7759999999999999,0.812,0.642,0.614,0.6829999999999999
0.43799999999999994,0.191,0.0943,0.205,0.308
0.813,1.55,0.882,1.03,0.888
